unix,date,symbol,open,high,low,close,Volume MATIC,Volume USD
1.64869E+12,3/31/2022 1:00,MATIC/USD,1.6985,1.71951,1.69827,1.71745,33872.97152,58175.13494
1.64869E+12,3/31/2022 2:00,MATIC/USD,1.71745,1.72367,1.7068,1.71836,44012.89528,75629.99873
1.6487E+12,3/31/2022 3:00,MATIC/USD,1.71836,1.72041,1.70688,1.71187,21425.20965,36677.17364
1.6487E+12,3/31/2022 4:00,MATIC/USD,1.71187,1.7193,1.69881,1.7041,34245.30171,58357.41864
1.6487E+12,3/31/2022 5:00,MATIC/USD,1.7041,1.71397,1.69926,1.7122,27682.58931,47398.12942
1.64871E+12,3/31/2022 6:00,MATIC/USD,1.7122,1.71921,1.70871,1.71848,14345.83472,24653.03005
1.64871E+12,3/31/2022 7:00,MATIC/USD,1.71848,1.73536,1.71392,1.73502,9787.869677,16982.14965
1.64871E+12,3/31/2022 8:00,MATIC/USD,1.73502,1.74892,1.72423,1.73894,12571.7587,21861.53408
1.64872E+12,3/31/2022 9:00,MATIC/USD,1.73894,1.74355,1.73201,1.74354,20863.08134,36375.61685
1.64872E+12,3/31/2022 10:00,MATIC/USD,1.74354,1.74671,1.73672,1.74626,3685.082727,6435.112563
1.64872E+12,3/31/2022 11:00,MATIC/USD,1.74626,1.74626,1.72423,1.7268,20659.46828,35674.76983
1.64873E+12,3/31/2022 12:00,MATIC/USD,1.7268,1.73965,1.71612,1.73907,84797.81884,147469.3428
1.64873E+12,3/31/2022 13:00,MATIC/USD,1.73907,1.74284,1.69803,1.69987,17402.96439,29582.77708
1.64874E+12,3/31/2022 14:00,MATIC/USD,1.69987,1.70047,1.65304,1.69725,117269.4368,199035.5516
1.64874E+12,3/31/2022 15:00,MATIC/USD,1.69725,1.7,1.66798,1.67303,31187.29204,52177.2752
1.64874E+12,3/31/2022 16:00,MATIC/USD,1.67303,1.67303,1.62781,1.628,113734.6618,185160.0294
1.64875E+12,3/31/2022 17:00,MATIC/USD,1.628,1.64676,1.6266,1.63935,58250.12724,95492.3461
1.64875E+12,3/31/2022 18:00,MATIC/USD,1.63935,1.64285,1.61547,1.64251,41007.28993,67354.88378
1.64875E+12,3/31/2022 19:00,MATIC/USD,1.64251,1.64378,1.62379,1.62558,13142.23359,21363.75207
1.64876E+12,3/31/2022 20:00,MATIC/USD,1.62558,1.63655,1.62181,1.62814,19272.87497,31378.93865
1.64876E+12,3/31/2022 21:00,MATIC/USD,1.62814,1.63228,1.62542,1.62928,35176.46425,57312.30968
1.64876E+12,3/31/2022 22:00,MATIC/USD,1.62928,1.63316,1.61925,1.63133,14037.22299,22899.34297
1.64877E+12,3/31/2022 23:00,MATIC/USD,1.63133,1.63133,1.60692,1.61645,11844.57832,19146.16863
1.64877E+12,4/1/2022 0:00,MATIC/USD,1.61645,1.63468,1.61549,1.63356,19209.56105,31379.97055
1.64877E+12,4/1/2022 1:00,MATIC/USD,1.63356,1.63356,1.60819,1.60904,31422.07449,50559.37473
1.64878E+12,4/1/2022 2:00,MATIC/USD,1.60904,1.61479,1.561,1.56798,48263.23821,75675.79224
1.64878E+12,4/1/2022 3:00,MATIC/USD,1.56798,1.58607,1.56526,1.58578,89439.06303,141830.6774
1.64879E+12,4/1/2022 4:00,MATIC/USD,1.58578,1.6006,1.58578,1.5997,48040.79231,76850.85546
1.64879E+12,4/1/2022 5:00,MATIC/USD,1.5997,1.60975,1.59792,1.6086,29262.35881,47071.43039
1.64879E+12,4/1/2022 6:00,MATIC/USD,1.6086,1.62165,1.60424,1.62025,24446.1898,39608.93902
1.6488E+12,4/1/2022 7:00,MATIC/USD,1.62025,1.6344,1.62,1.6344,18596.96497,30394.87955
1.6488E+12,4/1/2022 8:00,MATIC/USD,1.6344,1.65044,1.63315,1.63412,57428.68948,93845.37005
1.6488E+12,4/1/2022 9:00,MATIC/USD,1.63412,1.64214,1.62592,1.63199,5453.934107,8900.765923
1.64881E+12,4/1/2022 10:00,MATIC/USD,1.63199,1.63862,1.6257,1.63851,16530.38061,27085.19393
1.64881E+12,4/1/2022 11:00,MATIC/USD,1.63851,1.64453,1.62957,1.63001,12444.33752,20284.3946
1.64881E+12,4/1/2022 12:00,MATIC/USD,1.63001,1.64561,1.61224,1.645,19505.50298,32086.5524
1.64882E+12,4/1/2022 13:00,MATIC/USD,1.645,1.66423,1.64328,1.65475,38597.72221,63869.58083
1.64882E+12,4/1/2022 14:00,MATIC/USD,1.65475,1.69041,1.6543,1.69041,82270.77617,139071.3427
1.64883E+12,4/1/2022 15:00,MATIC/USD,1.69041,1.69666,1.67563,1.68749,72020.98688,121534.6951
1.64883E+12,4/1/2022 16:00,MATIC/USD,1.68749,1.69837,1.67488,1.67488,175749.6639,294359.5971
1.64883E+12,4/1/2022 17:00,MATIC/USD,1.67488,1.69863,1.66952,1.69184,55863.98342,94512.92171
1.64884E+12,4/1/2022 18:00,MATIC/USD,1.69184,1.7119,1.69166,1.708,64883.35293,110820.7668
1.64884E+12,4/1/2022 19:00,MATIC/USD,1.708,1.71111,1.69766,1.71019,16449.91462,28132.47949
1.64884E+12,4/1/2022 20:00,MATIC/USD,1.71019,1.71101,1.69264,1.69939,38555.21879,65520.35325
1.64885E+12,4/1/2022 21:00,MATIC/USD,1.69939,1.70655,1.69755,1.70487,9714.561809,16562.06499
1.64885E+12,4/1/2022 22:00,MATIC/USD,1.70487,1.71023,1.68807,1.69882,72165.3544,122595.9474
1.64885E+12,4/1/2022 23:00,MATIC/USD,1.69882,1.69882,1.68336,1.69653,28604.83785,48528.96555
1.64886E+12,4/2/2022 0:00,MATIC/USD,1.69653,1.72784,1.68703,1.72652,98939.33004,170820.7321
1.64886E+12,4/2/2022 1:00,MATIC/USD,1.72652,1.72826,1.70565,1.71632,46586.50302,79957.34687
1.64886E+12,4/2/2022 2:00,MATIC/USD,1.71632,1.72702,1.70507,1.71802,16393.657,28164.63061
1.64887E+12,4/2/2022 3:00,MATIC/USD,1.71802,1.71802,1.70816,1.71489,12554.90884,21530.28761
1.64887E+12,4/2/2022 4:00,MATIC/USD,1.71489,1.72136,1.71307,1.71924,5082.453473,8737.957309
1.64888E+12,4/2/2022 5:00,MATIC/USD,1.71924,1.7279,1.71714,1.72569,3553.620828,6132.447927
1.64888E+12,4/2/2022 6:00,MATIC/USD,1.72569,1.72888,1.71911,1.72704,14692.25212,25374.10711
1.64888E+12,4/2/2022 7:00,MATIC/USD,1.72704,1.72725,1.71704,1.72248,4115.704921,7089.219412
1.64889E+12,4/2/2022 8:00,MATIC/USD,1.72248,1.72248,1.71589,1.7188,3889.827045,6685.834725
1.64889E+12,4/2/2022 9:00,MATIC/USD,1.7188,1.72816,1.71722,1.72816,1419.044181,2452.335392
1.64889E+12,4/2/2022 10:00,MATIC/USD,1.72816,1.72816,1.70198,1.71478,8713.548297,14941.81835
1.6489E+12,4/2/2022 11:00,MATIC/USD,1.71478,1.71478,1.69866,1.69887,82577.03589,140287.649
1.6489E+12,4/2/2022 12:00,MATIC/USD,1.69887,1.716,1.68097,1.70726,32982.85134,56310.30279
