unix,date,symbol,open,high,low,close,Volume BTC,Volume USD,
1479614400,20-Nov-16,BTC/USD,751.99,751.99,710.03,730.27,1372.214476,1002087.065,20-Nov-16
1479700800,21-Nov-16,BTC/USD,730.27,738.73,725.45,734.41,1990.262284,1461668.524,21-Nov-16
1479787200,22-Nov-16,BTC/USD,734.41,751.67,733.52,748.35,4055.867609,3035208.525,22-Nov-16
1479873600,23-Nov-16,BTC/USD,748.35,748.35,732.18,741.51,1872.169471,1388232.384,23-Nov-16
1479960000,24-Nov-16,BTC/USD,741.51,742.18,728,732.97,1473.53495,1080056.912,24-Nov-16
1480046400,25-Nov-16,BTC/USD,732.97,742.54,730.25,741.74,1728.412372,1282032.593,25-Nov-16
1480132800,26-Nov-16,BTC/USD,741.74,741.81,724.49,731.23,586.768788,429062.9408,26-Nov-16
1480219200,27-Nov-16,BTC/USD,731.23,733.99,728.35,732.99,1351.967521,990978.6729,27-Nov-16
1480305600,28-Nov-16,BTC/USD,732.99,734.6,724.81,733.99,2570.796342,1886938.807,28-Nov-16
1480392000,29-Nov-16,BTC/USD,733.99,735.36,731.88,733.88,2065.97219,1516175.671,29-Nov-16
1480478400,30-Nov-16,BTC/USD,733.88,745.5,732.99,744.99,2157.537031,1607343.513,30-Nov-16
1480564800,1-Dec-16,BTC/USD,744.99,764.97,744.98,764.87,2534.720591,1938731.738,1-Dec-16
1480651200,2-Dec-16,BTC/USD,764.87,777.05,764.87,773.15,3146.46998,2432693.265,2-Dec-16
1480737600,3-Dec-16,BTC/USD,773.15,774.13,760.51,766.85,963.2281948,738651.5412,3-Dec-16
1480824000,4-Dec-16,BTC/USD,766.85,769.97,760.51,760.98,531.5354495,404487.8464,4-Dec-16
1480910400,5-Dec-16,BTC/USD,760.98,760.98,743.73,755.73,2386.336674,1803426.214,5-Dec-16
1480996800,6-Dec-16,BTC/USD,755.73,759.38,754,758.99,2102.151024,1595511.606,6-Dec-16
1481083200,7-Dec-16,BTC/USD,758.99,769.98,752.24,764.37,2444.231016,1868296.861,7-Dec-16
1481169600,8-Dec-16,BTC/USD,764.37,772.46,763.88,767.5,1874.772922,1438888.217,8-Dec-16
1481256000,9-Dec-16,BTC/USD,767.5,775.83,764.5,774.99,2108.235288,1633861.266,9-Dec-16
1481342400,10-Dec-16,BTC/USD,774.99,775.99,765.28,766.01,801.0342209,613600.2235,10-Dec-16
1481428800,11-Dec-16,BTC/USD,766.01,770.99,766,770.97,508.4760909,392019.8118,11-Dec-16
1481515200,12-Dec-16,BTC/USD,770.97,790.84,768.26,775.28,2471.0431,1915750.295,12-Dec-16
1481601600,13-Dec-16,BTC/USD,775.28,780.99,772.61,777.52,2293.948191,1783590.597,13-Dec-16
1481688000,14-Dec-16,BTC/USD,777.52,780.25,772.65,779.69,2457.544362,1916122.763,14-Dec-16
1481774400,15-Dec-16,BTC/USD,779.69,779.7,774.16,776.52,3677.085329,2855330.3,15-Dec-16
1481860800,16-Dec-16,BTC/USD,776.52,791.13,774.92,787,2668.509178,2100116.723,16-Dec-16
1481947200,17-Dec-16,BTC/USD,787,789.99,787,789.99,713.0053373,563267.0864,17-Dec-16
1482033600,18-Dec-16,BTC/USD,789.99,790.68,785.71,790.68,522.9435353,413480.9945,18-Dec-16
1482120000,19-Dec-16,BTC/USD,790.68,790.99,785.1,790,3079.002345,2432411.852,19-Dec-16
1482206400,20-Dec-16,BTC/USD,790,804.85,788.11,804.85,2702.585994,2175176.337,20-Dec-16
1482292800,21-Dec-16,BTC/USD,804.85,840.83,804.85,838.91,3721.285152,3121823.327,21-Dec-16
1482379200,22-Dec-16,BTC/USD,838.91,896.42,838.91,888.38,4690.894728,4167297.058,22-Dec-16
1482465600,23-Dec-16,BTC/USD,888.38,923.47,881.99,911.03,3942.22908,3591488.959,23-Dec-16
1482552000,24-Dec-16,BTC/USD,911.03,915.94,870.29,870.32,976.039938,849467.0789,24-Dec-16
1482638400,25-Dec-16,BTC/USD,870.32,919.41,860.76,911.68,822.024056,749422.8914,25-Dec-16
1482724800,26-Dec-16,BTC/USD,911.68,911.68,896.22,900.86,701.6850206,632119.9677,26-Dec-16
1482811200,27-Dec-16,BTC/USD,900.86,952.58,900.86,950.02,2470.424619,2346952.797,27-Dec-16
1482897600,28-Dec-16,BTC/USD,950.02,985.43,948.48,973.25,2588.411696,2519171.683,28-Dec-16
1482984000,29-Dec-16,BTC/USD,973.25,980.68,950.3,960.01,2098.123789,2014219.818,29-Dec-16
1483070400,30-Dec-16,BTC/USD,960.01,968.83,929.9,958,1412.526001,1353199.909,30-Dec-16
1483156800,31-Dec-16,BTC/USD,958,974.55,950.01,967.8,685.5019097,663428.7482,31-Dec-16
1483243200,1-Jan-17,BTC/USD,967.8,1014.98,965,1010.6,1104.883723,1116595.49,1-Jan-17
1483329600,2-Jan-17,BTC/USD,1010.6,1035.9,995.1,1028.38,1722.378475,1771259.577,2-Jan-17
1483416000,3-Jan-17,BTC/USD,1028.38,1049.49,1014.06,1049.37,2249.557671,2360618.333,3-Jan-17
1483502400,4-Jan-17,BTC/USD,1049.37,1155.54,1049.37,1146,3406.999125,3904420.997,4-Jan-17
1483588800,5-Jan-17,BTC/USD,1146,1167.16,879,987.95,6731.512301,6650397.578,5-Jan-17
1483675200,6-Jan-17,BTC/USD,987.95,989.27,825,839.53,5809.620563,4877350.752,6-Jan-17
1483761600,7-Jan-17,BTC/USD,839.53,919.16,820.99,918.39,2014.481235,1850079.422,7-Jan-17
1483848000,8-Jan-17,BTC/USD,918.39,940.1,880.51,891.83,1386.494774,1236517.634,8-Jan-17
1483934400,9-Jan-17,BTC/USD,891.83,913.99,880.5,907.51,3440.08981,3121915.903,9-Jan-17
