unix,date,symbol,open,high,low,close,Volume SOL,Volume USD
1.66803E+12,11/9/2022 22:00,SOL/USD,12.1,14.869,12.1,14.187,23394.22944,331893.9331
1.66803E+12,11/9/2022 23:00,SOL/USD,14.187,14.267,13,14.068,19612.46725,275908.1893
1.66804E+12,11/10/2022 0:00,SOL/USD,14.068,14.98,13.594,14.791,22137.34674,327433.4957
1.66804E+12,11/10/2022 1:00,SOL/USD,14.791,15.213,13.139,13.614,15645.38832,212996.3166
1.66805E+12,11/10/2022 2:00,SOL/USD,13.614,13.918,13.405,13.813,8804.495631,121616.4982
1.66805E+12,11/10/2022 3:00,SOL/USD,13.813,16,13.753,15.156,15717.36917,238212.4472
1.66805E+12,11/10/2022 4:00,SOL/USD,15.156,15.392,14.357,15.17,7905.6034,119928.0036
1.66806E+12,11/10/2022 5:00,SOL/USD,15.17,15.475,14.86,15.079,11139.03347,167965.4857
1.66806E+12,11/10/2022 6:00,SOL/USD,15.079,15.449,14.749,15.187,5199.588722,78966.15392
1.66806E+12,11/10/2022 7:00,SOL/USD,15.187,15.926,15.036,15.415,4915.445572,75771.59349
1.66807E+12,11/10/2022 8:00,SOL/USD,15.415,15.415,12.938,13.637,23822.10548,324862.0524
1.66807E+12,11/10/2022 9:00,SOL/USD,13.637,14.054,12.774,13.899,11685.4396,162415.925
1.66807E+12,11/10/2022 10:00,SOL/USD,13.899,14,12.66,13.375,4474.78364,59850.23119
1.66808E+12,11/10/2022 11:00,SOL/USD,13.375,14.156,13.326,13.945,12798.7761,178478.9327
1.66808E+12,11/10/2022 12:00,SOL/USD,13.945,16,13.723,15.099,38112.43104,575459.5962
1.66809E+12,11/10/2022 13:00,SOL/USD,15.099,17.369,14.826,17.363,20424.73985,354634.758
1.66809E+12,11/10/2022 14:00,SOL/USD,17.363,18.063,15.345,16.725,26186.53647,437969.8225
1.66809E+12,11/10/2022 15:00,SOL/USD,16.725,18.458,16.725,17.748,19529.29163,346605.8678
1.6681E+12,11/10/2022 16:00,SOL/USD,17.748,19,17.224,18.149,24412.62339,443064.702
1.6681E+12,11/10/2022 17:00,SOL/USD,18.149,18.149,16.399,16.709,10302.73458,172148.392
1.6681E+12,11/10/2022 18:00,SOL/USD,16.709,17.37,16.671,17.029,5053.715571,86059.72246
1.66811E+12,11/10/2022 19:00,SOL/USD,17.029,17.397,16.649,17.324,4336.426682,75124.25584
1.66811E+12,11/10/2022 20:00,SOL/USD,17.324,18.34,16.751,18.101,6802.886804,123139.054
1.66811E+12,11/10/2022 21:00,SOL/USD,18.101,18.601,17.717,18.025,4031.803332,72673.25506
1.66812E+12,11/10/2022 22:00,SOL/USD,18.025,18.074,17.504,17.853,3541.696741,63229.91192
1.66812E+12,11/10/2022 23:00,SOL/USD,17.853,17.99,17.272,17.633,3184.150195,56146.12039
1.66812E+12,11/11/2022 0:00,SOL/USD,17.633,17.958,16.933,17.567,7754.415515,136221.8174
1.66813E+12,11/11/2022 1:00,SOL/USD,17.567,18.106,17.231,17.232,8459.788226,145779.0707
1.66813E+12,11/11/2022 2:00,SOL/USD,17.232,17.242,16.526,16.664,6977.631673,116275.2542
1.66814E+12,11/11/2022 3:00,SOL/USD,16.664,16.744,15.667,16.319,12140.42727,198119.6326
1.66814E+12,11/11/2022 4:00,SOL/USD,16.319,16.435,16.103,16.134,1697.026624,27379.82755
1.66814E+12,11/11/2022 5:00,SOL/USD,16.134,17.796,16.134,17.051,4443.456584,75765.37821
1.66815E+12,11/11/2022 6:00,SOL/USD,17.051,17.198,16.747,17.029,2018.867159,34379.28885
1.66815E+12,11/11/2022 7:00,SOL/USD,17.029,17.611,16.823,17.268,4500.698158,77718.05579
1.66815E+12,11/11/2022 8:00,SOL/USD,17.268,17.35,17.024,17.183,7388.546108,126957.3878
1.66816E+12,11/11/2022 9:00,SOL/USD,17.183,17.548,17.105,17.354,416.120138,7221.348875
1.66816E+12,11/11/2022 10:00,SOL/USD,17.354,18.088,17.274,17.827,1223.351873,21808.69384
1.66816E+12,11/11/2022 11:00,SOL/USD,17.827,18.209,17.488,18.183,1598.326023,29062.36208
1.66817E+12,11/11/2022 12:00,SOL/USD,18.183,18.183,17.662,18.061,1444.001278,26080.10708
1.66817E+12,11/11/2022 13:00,SOL/USD,18.061,18.25,17.178,17.336,2953.275742,51197.98826
1.66818E+12,11/11/2022 14:00,SOL/USD,17.336,17.586,15.228,16.139,13895.33118,224256.7499
1.66818E+12,11/11/2022 15:00,SOL/USD,16.139,16.667,16.139,16.495,2975.437275,49079.83785
1.66818E+12,11/11/2022 16:00,SOL/USD,16.495,16.495,15.807,16.381,9635.339609,157836.4981
1.66819E+12,11/11/2022 17:00,SOL/USD,16.381,16.435,15.914,16.324,5028.44265,82084.29782
1.66819E+12,11/11/2022 18:00,SOL/USD,16.324,16.615,16.243,16.243,3973.420052,64540.2619
1.66819E+12,11/11/2022 19:00,SOL/USD,16.243,16.327,15.972,16.201,1190.050323,19280.00528
1.6682E+12,11/11/2022 20:00,SOL/USD,16.201,16.201,15.323,15.44,3888.380113,60036.58894
1.6682E+12,11/11/2022 21:00,SOL/USD,15.44,15.864,15.44,15.834,826.570601,13087.9189
1.6682E+12,11/11/2022 22:00,SOL/USD,15.834,16.1,15.746,15.99,1058.864184,16931.2383
1.66821E+12,11/11/2022 23:00,SOL/USD,15.99,16.374,15.667,16.197,988.481634,16010.43703
1.66821E+12,11/12/2022 0:00,SOL/USD,16.197,16.325,16.005,16.122,1894.166073,30537.74543
1.66821E+12,11/12/2022 1:00,SOL/USD,16.122,16.171,15.75,15.926,1587.479083,25282.19188
1.66822E+12,11/12/2022 2:00,SOL/USD,15.926,16.205,15.721,15.922,1406.600949,22395.90031
1.66822E+12,11/12/2022 3:00,SOL/USD,15.922,16.062,15.73,15.9,1179.001045,18746.11662
1.66823E+12,11/12/2022 4:00,SOL/USD,15.9,16.007,15.465,15.465,1485.488903,22973.08588
1.66823E+12,11/12/2022 5:00,SOL/USD,15.465,15.487,15,15.092,3251.905074,49077.75138
1.66823E+12,11/12/2022 6:00,SOL/USD,15.092,15.379,14.964,15.379,1319.417585,20291.32304
1.66824E+12,11/12/2022 7:00,SOL/USD,15.379,15.833,15.379,15.538,746.550725,11599.90517
1.66824E+12,11/12/2022 8:00,SOL/USD,15.538,15.758,15.465,15.499,823.900391,12769.63216
1.66824E+12,11/12/2022 9:00,SOL/USD,15.499,15.651,15.24,15.508,1597.007841,24766.3976
1.66825E+12,11/12/2022 10:00,SOL/USD,15.508,15.695,15.387,15.478,968.203281,14985.85038
1.66825E+12,11/12/2022 11:00,SOL/USD,15.478,15.514,15.13,15.379,536.625012,8252.75606
1.66825E+12,11/12/2022 12:00,SOL/USD,15.379,15.463,15.005,15.215,2440.629851,37134.18318
1.66826E+12,11/12/2022 13:00,SOL/USD,15.215,15.272,15,15.157,280.416606,4250.274497
1.66826E+12,11/12/2022 14:00,SOL/USD,15.157,15.157,14.8,15.071,1482.212532,22338.42507
